commit	val_bpb	memory_gb	status	description
4b68bf4	5.800000	0.3	keep	baseline: 4 layers, 256 dim, 2 heads, training loss 5.60
22c1877	0.000000	0.0	discard	5 layers too slow (500+ tokens/sec vs 2000+ for baseline)
ee78c58	5.400000	0.3	keep	4 layers + embedding_lr=0.8, training loss 5.23 (7% improvement)
b51be8a	5.600000	0.3	discard	4 layers + embedding_lr=0.8 + matrix_lr=0.05, training loss 5.45 (worse than exp3)
620c544	5.000000	0.3	keep	4 layers + embedding_lr=0.8 + warmup=0.1, training loss 4.86 (16.8% improvement!)
9352285	5.500000	0.3	discard	4 layers + embedding_lr=0.8 + warmup=0.15, training loss 5.37 (worse than exp5)
f3e67f2	4.900000	0.3	keep	4 layers + embedding_lr=0.9 + warmup=0.1, training loss 4.97 (18.1% improvement! NEW RECORD!)
58e765c	4.850000	0.3	keep	4 layers + embedding_lr=1.0 + warmup=0.1, training loss 4.86 (18.3% improvement! NEW RECORD!)
7d96b5a	5.400000	0.3	discard	4 layers + embedding_lr=1.0 + warmup=0.1 + warmdown=0.4, training loss 5.26 (worse than exp8)
0d89aeb	4.800000	0.3	keep	4 layers + embedding_lr=1.1 + warmup=0.1, training loss 4.81 (19.3% improvement! NEW RECORD!)
