C:\Users\admin\anaconda3\envs\folktales\Lib\site-packages\torch\_refs\__init__.py:4919: UserWarning: expandable_segments not supported on this platform (Triggered internally at C:\actions-runner\_work\pytorch\pytorch\builder\windows\pytorch\c10/cuda/CUDAAllocatorConfig.h:28.)
  return torch.empty_permuted(
CUDA device: NVIDIA GeForce GTX 1650
CUDA compute capability: (7, 5)
AMP dtype: torch.float16
Vocab size: 8,192
Model config: {'sequence_len': 256, 'vocab_size': 8192, 'n_layer': 2, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 128, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 1,048,576
  value_embeds            : 1,048,576
  lm_head                 : 1,048,576
  transformer_matrices    : 393,280
  scalars                 : 4
  total                   : 3,539,012
Estimated FLOPs per token: 9.437568e+06
Scaling AdamW LRs by 1/sqrt(128/768) = 2.449490
Data: train/val split already exists
Time budget: 300s
Gradient accumulation steps: 1
Device: cuda

step 00000 (0.0%) | loss: 9.011062 | lrm: 0.00 | dt: 290ms | tok/sec: 3,527 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 9.011188 | lrm: 0.00 | dt: 76ms | tok/sec: 13,403 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 9.011072 | lrm: 0.00 | dt: 55ms | tok/sec: 18,602 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 9.011165 | lrm: 0.00 | dt: 64ms | tok/sec: 16,120 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 9.011134 | lrm: 0.00 | dt: 63ms | tok/sec: 16,234 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 9.011093 | lrm: 0.00 | dt: 63ms | tok/sec: 16,153 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 9.011013 | lrm: 0.00 | dt: 64ms | tok/sec: 16,112 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 9.011010 | lrm: 0.00 | dt: 79ms | tok/sec: 13,015 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 9.010842 | lrm: 0.00 | dt: 63ms | tok/sec: 16,244 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 9.010817 | lrm: 0.00 | dt: 66ms | tok/sec: 15,525 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 9.010854 | lrm: 0.00 | dt: 62ms | tok/sec: 16,476 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 9.010899 | lrm: 0.00 | dt: 67ms | tok/sec: 15,201 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00012 (0.0%) | loss: 9.010932 | lrm: 0.00 | dt: 59ms | tok/sec: 17,446 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00013 (0.0%) | loss: 9.010967 | lrm: 0.00 | dt: 68ms | tok/sec: 15,135 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00014 (0.1%) | loss: 9.010705 | lrm: 0.01 | dt: 59ms | tok/sec: 17,455 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00015 (0.1%) | loss: 9.010423 | lrm: 0.01 | dt: 70ms | tok/sec: 14,596 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00016 (0.1%) | loss: 9.010010 | lrm: 0.01 | dt: 71ms | tok/sec: 14,350 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00017 (0.1%) | loss: 9.009408 | lrm: 0.01 | dt: 56ms | tok/sec: 18,207 | mfu: 0.0% | epoch: 1 | remaining: 300s    
step 00018 (0.2%) | loss: 9.008558 | lrm: 0.02 | dt: 75ms | tok/sec: 13,612 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00019 (0.2%) | loss: 9.007649 | lrm: 0.02 | dt: 55ms | tok/sec: 18,509 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00020 (0.2%) | loss: 9.006372 | lrm: 0.02 | dt: 63ms | tok/sec: 16,189 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00021 (0.2%) | loss: 9.004774 | lrm: 0.02 | dt: 63ms | tok/sec: 16,273 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00022 (0.2%) | loss: 9.002893 | lrm: 0.02 | dt: 64ms | tok/sec: 15,931 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00023 (0.3%) | loss: 9.000258 | lrm: 0.03 | dt: 74ms | tok/sec: 13,882 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00024 (0.3%) | loss: 8.996943 | lrm: 0.03 | dt: 53ms | tok/sec: 19,318 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00025 (0.3%) | loss: 8.992811 | lrm: 0.03 | dt: 74ms | tok/sec: 13,824 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00026 (0.3%) | loss: 8.987068 | lrm: 0.03 | dt: 57ms | tok/sec: 17,944 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00027 (0.3%) | loss: 8.980548 | lrm: 0.03 | dt: 77ms | tok/sec: 13,344 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00028 (0.4%) | loss: 8.972483 | lrm: 0.04 | dt: 79ms | tok/sec: 12,882 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00029 (0.4%) | loss: 8.962704 | lrm: 0.04 | dt: 64ms | tok/sec: 16,016 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00030 (0.4%) | loss: 8.949949 | lrm: 0.04 | dt: 63ms | tok/sec: 16,149 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00031 (0.4%) | loss: 8.935907 | lrm: 0.04 | dt: 63ms | tok/sec: 16,231 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00032 (0.5%) | loss: 8.919633 | lrm: 0.05 | dt: 75ms | tok/sec: 13,648 | mfu: 0.0% | epoch: 1 | remaining: 299s    
step 00033 (0.5%) | loss: 8.901820 | lrm: 0.05 | dt: 63ms | tok/sec: 16,193 | mfu: 0.0% | epoch: 1 | remaining: 298s    
step 00034 (0.5%) | loss: 8.882129 | lrm: 0.05 | dt: 74ms | tok/sec: 13,784 | mfu: 0.0% | epoch: 1 | remaining: 298s    
step 00035 (0.5%) | loss: 8.854093 | lrm: 0.05 | dt: 66ms | tok/sec: 15,440 | mfu: 0.0% | epoch: 1 | remaining: 298s    
step 00036 (0.6%) | loss: 8.825258 | lrm: 0.06 | dt: 83ms | tok/sec: 12,285 | mfu: 0.0% | epoch: 1 | remaining: 298s    
step 00037 (0.6%) | loss: 8.790576 | lrm: 0.06 | dt: 59ms | tok/sec: 17,271 | mfu: 0.0% | epoch: 1 | remaining: 298s    
step 00038 (0.6%) | loss: 8.753363 | lrm: 0.06 | dt: 79ms | tok/sec: 12,956 | mfu: 0.0% | epoch: 1 | remaining: 298s    
step 00039 (0.6%) | loss: 8.709511 | lrm: 0.06 | dt: 83ms | tok/sec: 12,400 | mfu: 0.0% | epoch: 1 | remaining: 298s    
step 00040 (0.7%) | loss: 8.663236 | lrm: 0.07 | dt: 65ms | tok/sec: 15,787 | mfu: 0.0% | epoch: 1 | remaining: 298s    
step 00041 (0.7%) | loss: 8.617860 | lrm: 0.07 | dt: 62ms | tok/sec: 16,491 | mfu: 0.0% | epoch: 1 | remaining: 298s    
step 00042 (0.7%) | loss: 8.570721 | lrm: 0.07 | dt: 72ms | tok/sec: 14,270 | mfu: 0.0% | epoch: 1 | remaining: 298s    
step 00043 (0.7%) | loss: 8.507335 | lrm: 0.07 | dt: 69ms | tok/sec: 14,922 | mfu: 0.0% | epoch: 1 | remaining: 298s    
